date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:17	108150/108150	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:42%20GMT	https://bengkeltop24jam.id/assets/img/1.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/1.jpg	(from https://bengkeltop24jam.id/)
15:58:18	145541/145541	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:42%20GMT	https://bengkeltop24jam.id/assets/img/2.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/2.jpg	(from https://bengkeltop24jam.id/)
15:58:18	129665/129665	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:42%20GMT	https://bengkeltop24jam.id/assets/img/3.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/3.jpg	(from https://bengkeltop24jam.id/)
15:58:18	120363/120363	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:44%20GMT	https://bengkeltop24jam.id/assets/img/4.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/4.jpg	(from https://bengkeltop24jam.id/)
15:58:18	261664/261664	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Jun%202024%2003:09:04%20GMT	https://bengkeltop24jam.id/assets/img/9.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/9.jpg	(from https://bengkeltop24jam.id/)
15:58:18	146744/146744	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:44%20GMT	https://bengkeltop24jam.id/assets/img/5.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/5.jpg	(from https://bengkeltop24jam.id/)
15:58:19	82151/82151	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:44%20GMT	https://bengkeltop24jam.id/assets/img/6.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/6.jpg	(from https://bengkeltop24jam.id/)
15:58:19	94888/94888	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:44%20GMT	https://bengkeltop24jam.id/assets/img/7.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/7.jpg	(from https://bengkeltop24jam.id/)
15:58:19	83295/83295	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202024%2004:39:44%20GMT	https://bengkeltop24jam.id/assets/img/8.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/8.jpg	(from https://bengkeltop24jam.id/)
15:58:19	5417/5417	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/purecounter/purecounter_vanilla.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/purecounter/purecounter_vanilla.js	(from https://bengkeltop24jam.id/)
